CATEGORY_ID,CATEGORY_DESCRIPTION
1,CRE2FOI0ZE
2,BGRJIIIVR1
3,YZ1J0CKE56
4,VZSJGRVQI9
5,V8KCNF0PX3
6,OH4C5ADTXE
7,TJCCZO801J
8,OUOM0J8CI9
9,E2UU148WC1
10,PVJ2HZGRYA
11,GBWQRZFMMQ
12,N7XSBYMV2P
13,MUOPVTFYVR
14,G3110W3FJA
15,FFVLRYLNZ5
16,WI0N3OICRG
17,0P8V4HDXKU
18,3G0D9MUKNY
19,UOIB022M4O
20,UI68RZ6L5F
21,SEAVH96JFW
22,NMSIOSFCDY
23,LS043HZWF8
24,IAF6HFZHKR
25,PZGQ57IOI5
26,J80L3LFFIZ
27,2L9G52BTDB
28,NZIE7MC4FR
29,TGY2YWWNLY
30,YWBG60IG8K
31,M04FK28SXN
32,OQNTLCVMMW
33,5YVJ9DOJW2
34,OUBHM4O57P
35,HAOOEELGXN
36,TB93Y32WQP
37,FB3QJXGCS1
38,ZZMT3PA529
39,RLUPY0JJKR
40,BOJHJYSHSK
41,F88XBD51QA
42,87PILJCCWU
43,CITU9AAHIL
44,HP3HJAYHZL
45,VMDS60HXGV
46,T5ICP5N7QT
47,6FQSY9MX3S
48,1EF41NXR2J
49,DS29PAGZKX
50,INKW37QFLA
51,VKSLU509P6
52,68E66IJ7YQ
53,Z6ZWQM4M9L
54,VNQ264XM0M
55,XCEM7JFOPG
56,ZAR41MWYI5
57,AM2D9GK53X
58,P2I0UWHVFA
59,PDZG50T7C2
60,X04ZGUVPD0
61,CJ0PN2QJ40
62,KELNY2AH7Z
63,WKRA2PLNVC
64,4H9GXW3D5B
65,DEFR35UBLE
66,VTEYQ4DVY4
67,PAWDX3Y6LO
68,H1MBIJDV55
69,XLDQOUU153
70,47579WM240
71,TFY3LYSXWR
72,7I6OG86217
73,M2Z9FAQBLP
74,Q76UL81JOZ
75,DC2005TTNQ
76,0KPG4NUN8O
77,MLLLNW177W
78,3NZLIE4FNM
79,1ST0M85BDW
80,OT98UVULRP
81,1WPQIVZPY5
82,N19W40NELO
83,ZB3STKBEMI
84,2BH05NH9YF
85,1ISBJVA55C
86,CSMLASGE29
87,JP1X7WZ8XE
88,YPQVE7Y990
89,PZBNQ4BL4O
90,VUM68VSJ6R
91,5ZWNJL087N
92,8B4LR5QR4C
93,N1H0OW9TQF
94,IAI6J3AXFB
95,2RN16YYT7A
96,WNL3PQ0LBF
97,PARFTYE0MN
98,VQO0TGVSKZ
99,7APVHII5ZQ
100,IZ8CRE8GQ1
